model	source	target	convention	row	position	c_begin	c_end	layer_range	gamma	w	src_seeds	tgt_seeds	step_acc_test	agent_acc_test	step_acc_val	agent_acc_val
qwen3.5-9b	WW-HC	TE-Cap	test	base	act/23	0	19		0.0		13,14,15	22,23,24	0.34108527131782945	0.5968992248062015	0.18253968253968253	0.5873015873015873
qwen3.5-9b	WW-HC	TE-Cap	test	soap	act/23	0	19	6-8	0.0	all	13,14,15	22,23,24	0.34108527131782945	0.5968992248062015	0.18253968253968253	0.5873015873015873
qwen3.5-9b	WW-HC	TE-Cap	val	base	act/7	2	3		0.0		13,14,15	22,23,24	0.17054263565891473	0.5193798449612403	0.20634920634920637	0.6507936507936508
qwen3.5-9b	WW-HC	TE-Cap	val	soap	act/7	2	3	2-4	1.0	1	13,14,15	22,23,24	0.20155038759689922	0.5503875968992248	0.24603174603174605	0.7142857142857143
qwen3.5-9b	TE-Mag	WW-AG	test	base	act/15	7	17		0.0		15,16,17	3,4,5	0.2751322751322751	0.5132275132275133	0.24338624338624337	0.4603174603174603
qwen3.5-9b	TE-Mag	WW-AG	test	soap	act/15	7	17	4-6	0.1	2	15,16,17	3,4,5	0.2857142857142857	0.5238095238095238	0.2486772486772487	0.4656084656084656
qwen3.5-9b	TE-Mag	WW-AG	val	base	act/15	7	9		0.0		15,16,17	3,4,5	0.26455026455026454	0.5185185185185185	0.2804232804232804	0.5026455026455027
qwen3.5-9b	TE-Mag	WW-AG	val	soap	act/15	7	9	0-2	0.6	3	15,16,17	3,4,5	0.2486772486772487	0.5396825396825397	0.2857142857142857	0.5185185185185185
qwen3.5-9b	TE-Mag	WW-HC	test	base	act/31_normed	0	1		0.0		15,16,17	13,14,15	0.2873563218390805	0.6436781609195402	0.16091954022988506	0.5977011494252874
qwen3.5-9b	TE-Mag	WW-HC	test	soap	act/31_normed	0	1	4-6	0.4	2	15,16,17	13,14,15	0.2988505747126437	0.6781609195402298	0.1839080459770115	0.632183908045977
qwen3.5-9b	TE-Mag	WW-HC	val	base	act/31	0	12		0.0		15,16,17	13,14,15	0.26436781609195403	0.6551724137931035	0.20689655172413793	0.632183908045977
qwen3.5-9b	TE-Mag	WW-HC	val	soap	act/31	0	12	6-8	0.0	all	15,16,17	13,14,15	0.26436781609195403	0.6551724137931035	0.20689655172413793	0.632183908045977
qwen3.5-9b	TE-Mag	TE-Mag	test	base	act/23	0	2		0.0		15,16,17	15,16,17	0.2101449275362319	0.6159420289855072	0.19999999999999998	0.6148148148148147
qwen3.5-9b	TE-Mag	TE-Mag	test	soap	act/23	0	2	6-8	1.0	4	15,16,17	15,16,17	0.2318840579710145	0.6521739130434783	0.11851851851851851	0.6222222222222222
qwen3.5-9b	TE-Mag	TE-Mag	val	base	act/23	0	2		0.0		15,16,17	15,16,17	0.2101449275362319	0.6159420289855072	0.19999999999999998	0.6148148148148147
qwen3.5-9b	TE-Mag	TE-Mag	val	soap	act/23	0	2	6-8	0.0	all	15,16,17	15,16,17	0.2101449275362319	0.6159420289855072	0.19999999999999998	0.6148148148148147
qwen3.5-9b	TE-Mag	TE-Cap	test	base	act/23	0	2		0.0		15,16,17	22,23,24	0.31007751937984496	0.6046511627906976	0.17460317460317457	0.5634920634920634
qwen3.5-9b	TE-Mag	TE-Cap	test	soap	act/23	0	2	2-4	1.0	1	15,16,17	22,23,24	0.34883720930232553	0.689922480620155	0.16666666666666666	0.6507936507936508
qwen3.5-9b	TE-Mag	TE-Cap	val	base	act/3	0	20		0.0		15,16,17	22,23,24	0.17829457364341086	0.4573643410852713	0.1984126984126984	0.5079365079365079
qwen3.5-9b	TE-Mag	TE-Cap	val	soap	act/3	0	20	2-4	0.1	1	15,16,17	22,23,24	0.25581395348837205	0.5581395348837209	0.2380952380952381	0.6190476190476191
qwen3.5-9b	TE-Cap	WW-AG	test	base	act/7	11	12		0.0		22,23,24	3,4,5	0.24338624338624337	0.42857142857142855	0.20105820105820105	0.40740740740740744
qwen3.5-9b	TE-Cap	WW-AG	test	soap	act/7	11	12	6-8	1.0	1	22,23,24	3,4,5	0.2698412698412698	0.4656084656084656	0.21164021164021163	0.4074074074074074
qwen3.5-9b	TE-Cap	WW-AG	val	base	act/3	5	7		0.0		22,23,24	3,4,5	0.20634920634920637	0.42857142857142855	0.2486772486772487	0.4708994708994709
qwen3.5-9b	TE-Cap	WW-AG	val	soap	act/3	5	7	0-2	0.6	all	22,23,24	3,4,5	0.20634920634920637	0.4338624338624339	0.2645502645502646	0.48148148148148145
qwen3.5-9b	TE-Cap	WW-HC	test	base	act/31_normed	0	1		0.0		22,23,24	13,14,15	0.3218390804597701	0.6551724137931035	0.1954022988505747	0.6551724137931035
qwen3.5-9b	TE-Cap	WW-HC	test	soap	act/31_normed	0	1	6-8	0.1	3	22,23,24	13,14,15	0.3333333333333333	0.6551724137931035	0.1954022988505747	0.632183908045977
qwen3.5-9b	TE-Cap	WW-HC	val	base	act/31_normed	0	2		0.0		22,23,24	13,14,15	0.2873563218390805	0.6666666666666666	0.1954022988505747	0.6666666666666666
qwen3.5-9b	TE-Cap	WW-HC	val	soap	act/31_normed	0	2	6-8	0.1	all	22,23,24	13,14,15	0.2873563218390805	0.6666666666666666	0.1954022988505747	0.6666666666666666
qwen3.5-9b	TE-Cap	TE-Mag	test	base	act/23	0	8		0.0		22,23,24	15,16,17	0.18115942028985507	0.6521739130434783	0.14814814814814814	0.6444444444444445
qwen3.5-9b	TE-Cap	TE-Mag	test	soap	act/23	0	8	4-6	0.6	1	22,23,24	15,16,17	0.21739130434782608	0.746376811594203	0.15555555555555556	0.6814814814814815
qwen3.5-9b	TE-Cap	TE-Mag	val	base	act/23	0	1		0.0		22,23,24	15,16,17	0.18115942028985507	0.6449275362318841	0.17037037037037037	0.6518518518518518
qwen3.5-9b	TE-Cap	TE-Mag	val	soap	act/23	0	1	0-2	0.2	3	22,23,24	15,16,17	0.16666666666666666	0.6159420289855072	0.1851851851851852	0.6222222222222221
qwen3.5-9b	TE-Cap	TE-Cap	test	base	act/23	0	3		0.0		22,23,24	22,23,24	0.3333333333333333	0.5813953488372093	0.1984126984126984	0.5634920634920635
qwen3.5-9b	TE-Cap	TE-Cap	test	soap	act/23	0	3	6-8	0.1	5	22,23,24	22,23,24	0.3565891472868217	0.6046511627906976	0.23015873015873015	0.5952380952380952
qwen3.5-9b	TE-Cap	TE-Cap	val	base	act/3	4	11		0.0		22,23,24	22,23,24	0.12403100775193798	0.4728682170542635	0.2222222222222222	0.5476190476190476
qwen3.5-9b	TE-Cap	TE-Cap	val	soap	act/3	4	11	6-8	0.2	5	22,23,24	22,23,24	0.12403100775193798	0.49612403100775193	0.23015873015873015	0.5634920634920635
