with_gt	judge	method	dataset	subset	seeds	n_preds	n_test	n_missing	n_null_step	step_acc	agent_acc	agent_acc_substring	family	train_seed
False	deepseek-8b	stepfinder.s43	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.034482758620689655	0.28735632183908044	0.28735632183908044	stepfinder	43
False	deepseek-8b	stepfinder.s44	correct-error	arc	17,18,19	304	152.0	0	0.0	0.6666666666666666	0.7434210526315791	0.7434210526315791	stepfinder	44
False	deepseek-8b	stepfinder.s44	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.48	0.7733333333333334	0.7733333333333334	stepfinder	44
False	deepseek-8b	stepfinder.s44	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.22606689734717414	0.6424452133794695	0.6424452133794695	stepfinder	44
False	deepseek-8b	stepfinder.s44	correct-error	math500	17,18,19	157	79.0	0	0.0	0.569620253164557	0.6540084388185654	0.6540084388185654	stepfinder	44
False	deepseek-8b	stepfinder.s44	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7246376811594203	0.8043478260869565	0.8043478260869565	stepfinder	44
False	deepseek-8b	stepfinder.s44	correct-error	musique	17,18,19	312	156.0	0	0.0	0.21153846153846154	0.5897435897435898	0.5897435897435898	stepfinder	44
False	deepseek-8b	stepfinder.s44	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.15985467756584923	0.6848319709355132	0.6848319709355132	stepfinder	44
False	deepseek-8b	stepfinder.s44	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.046511627906976744	0.2558139534883721	0.2558139534883721	stepfinder	44
False	deepseek-8b	stepfinder.s44	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.028985507246376812	0.41304347826086957	0.41304347826086957	stepfinder	44
False	deepseek-8b	stepfinder.s44	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.17460317460317457	0.49206349206349204	0.49206349206349204	stepfinder	44
False	deepseek-8b	stepfinder.s44	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.06896551724137931	0.367816091954023	0.367816091954023	stepfinder	44
False	deepseek-8b	stepfinder.s45	correct-error	arc	17,18,19	304	152.0	0	0.0	0.6315789473684211	0.7039473684210527	0.7039473684210527	stepfinder	45
False	deepseek-8b	stepfinder.s45	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.4666666666666666	0.7066666666666667	0.7066666666666667	stepfinder	45
False	deepseek-8b	stepfinder.s45	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.20184544405997693	0.6885813148788927	0.6885813148788927	stepfinder	45
False	deepseek-8b	stepfinder.s45	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5063291139240507	0.6033755274261603	0.6033755274261603	stepfinder	45
False	deepseek-8b	stepfinder.s45	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.6014492753623188	0.7101449275362319	0.7101449275362319	stepfinder	45
False	deepseek-8b	stepfinder.s45	correct-error	musique	17,18,19	312	156.0	0	0.0	0.17094017094017092	0.6752136752136751	0.6752136752136751	stepfinder	45
False	deepseek-8b	stepfinder.s45	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.1444141689373297	0.6693914623069936	0.6693914623069936	stepfinder	45
False	deepseek-8b	stepfinder.s45	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.2170542635658915	0.5038759689922481	0.5038759689922481	stepfinder	45
False	deepseek-8b	stepfinder.s45	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.07246376811594203	0.5	0.5	stepfinder	45
False	deepseek-8b	stepfinder.s45	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.1111111111111111	0.43915343915343913	0.43915343915343913	stepfinder	45
False	deepseek-8b	stepfinder.s45	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.16091954022988506	0.5057471264367815	0.5057471264367815	stepfinder	45
False	deepseek-8b	stepfinder.s46	correct-error	arc	17,18,19	304	152.0	0	0.0	0.6754385964912281	0.7982456140350878	0.7982456140350878	stepfinder	46
False	deepseek-8b	stepfinder.s46	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.3866666666666667	0.7733333333333334	0.7733333333333334	stepfinder	46
False	deepseek-8b	stepfinder.s46	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.17993079584775087	0.7081891580161477	0.7081891580161477	stepfinder	46
False	deepseek-8b	stepfinder.s46	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5443037974683543	0.6244725738396625	0.6244725738396625	stepfinder	46
False	deepseek-8b	stepfinder.s46	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.6159420289855072	0.7826086956521738	0.7826086956521738	stepfinder	46
False	deepseek-8b	stepfinder.s46	correct-error	musique	17,18,19	312	156.0	0	0.0	0.13034188034188035	0.6837606837606837	0.6837606837606837	stepfinder	46
False	deepseek-8b	stepfinder.s46	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.11080835603996368	0.6766575840145322	0.6766575840145322	stepfinder	46
False	deepseek-8b	stepfinder.s46	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.17054263565891473	0.5581395348837209	0.5581395348837209	stepfinder	46
False	deepseek-8b	stepfinder.s46	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.050724637681159424	0.31884057971014496	0.31884057971014496	stepfinder	46
False	deepseek-8b	stepfinder.s46	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.19047619047619047	0.48677248677248675	0.48677248677248675	stepfinder	46
False	deepseek-8b	stepfinder.s46	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.13793103448275862	0.471264367816092	0.471264367816092	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	arc	17,18,19	304	152.0	0	0.0	0.47368421052631576	0.5789473684210527	0.5789473684210527	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.3466666666666667	0.6533333333333333	0.6533333333333333	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.21222606689734716	0.6828143021914648	0.6828143021914648	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	math500	17,18,19	157	79.0	0	0.0	0.379746835443038	0.48523206751054854	0.48523206751054854	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.24637681159420288	0.4710144927536231	0.4710144927536231	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	musique	17,18,19	312	156.0	0	0.0	0.1730769230769231	0.7051282051282052	0.7051282051282052	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.14986376021798364	0.6684831970935513	0.6684831970935513	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.20930232558139536	0.46511627906976744	0.46511627906976744	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.2318840579710145	0.6811594202898551	0.6811594202898551	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.23809523809523805	0.4973544973544974	0.4973544973544974	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s42	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.10344827586206896	0.42528735632183906	0.42528735632183906	stepfinder	42
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	arc	17,18,19	304	152.0	0	0.0	0.4671052631578947	0.537280701754386	0.537280701754386	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.25333333333333335	0.5733333333333334	0.5733333333333334	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.209919261822376	0.6493656286043828	0.6493656286043828	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	math500	17,18,19	157	79.0	0	0.0	0.24050632911392408	0.3248945147679325	0.3248945147679325	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.23913043478260868	0.4710144927536232	0.4710144927536232	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	musique	17,18,19	312	156.0	0	0.0	0.1623931623931624	0.6324786324786325	0.6324786324786325	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.1262488646684832	0.6339691189827429	0.6339691189827429	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.20155038759689922	0.5581395348837209	0.5581395348837209	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.24637681159420288	0.7536231884057972	0.7536231884057972	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.25396825396825395	0.4656084656084656	0.4656084656084656	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s43	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.10344827586206896	0.4942528735632184	0.4942528735632184	stepfinder	43
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	arc	17,18,19	304	152.0	0	0.0	0.6535087719298246	0.7236842105263158	0.7236842105263158	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.3333333333333333	0.7200000000000001	0.7200000000000001	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.32987312572087657	0.657439446366782	0.657439446366782	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5358649789029536	0.5485232067510548	0.5485232067510548	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.47826086956521735	0.6449275362318841	0.6449275362318841	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	musique	17,18,19	312	156.0	0	0.0	0.2670940170940171	0.6666666666666666	0.6666666666666666	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.27702089009990916	0.6684831970935513	0.6684831970935513	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.18604651162790697	0.44961240310077516	0.44961240310077516	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.11594202898550725	0.6159420289855073	0.6159420289855073	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.23809523809523805	0.4708994708994709	0.4708994708994709	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s44	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.1264367816091954	0.47126436781609193	0.47126436781609193	stepfinder	44
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	arc	17,18,19	304	152.0	0	0.0	0.5504385964912281	0.6184210526315789	0.6184210526315789	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.39999999999999997	0.7066666666666667	0.7066666666666667	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.2837370242214533	0.6366782006920415	0.6366782006920415	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	math500	17,18,19	157	79.0	0	0.0	0.459915611814346	0.510548523206751	0.510548523206751	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.3695652173913044	0.5579710144927535	0.5579710144927535	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	musique	17,18,19	312	156.0	0	0.0	0.25213675213675213	0.6752136752136751	0.6752136752136751	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.24069028156221617	0.662125340599455	0.662125340599455	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.15503875968992248	0.4883720930232558	0.4883720930232558	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.21739130434782608	0.7318840579710145	0.7318840579710145	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.19576719576719573	0.4497354497354497	0.4497354497354497	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s45	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.10344827586206896	0.41379310344827586	0.41379310344827586	stepfinder	45
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	arc	17,18,19	304	152.0	0	0.0	0.6118421052631579	0.6907894736842106	0.6907894736842106	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.2933333333333334	0.7333333333333334	0.7333333333333334	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.22722029988465975	0.6678200692041522	0.6678200692041522	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5485232067510548	0.5822784810126582	0.5822784810126582	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.34057971014492755	0.5289855072463768	0.5289855072463768	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	musique	17,18,19	312	156.0	0	0.0	0.16025641025641027	0.6837606837606837	0.6837606837606837	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	correct-error	wikimqa	17,18,19	733	367.0	0	0.0	0.17075386012715713	0.6448683015440508	0.6448683015440508	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	traceelephant	captain	22,23,24	85	43.0	0	0.0	0.14728682170542637	0.5038759689922481	0.5038759689922481	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	traceelephant	magentic	15,16,17	91	46.0	0	0.0	0.24637681159420288	0.7608695652173912	0.7608695652173912	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	ww	algorithm-generated	3,4,5	126	63.0	0	0.0	0.2751322751322751	0.4656084656084656	0.4656084656084656	stepfinder	46
False	qwen3-embedding-0.6b	stepfinder.s46	ww	hand-crafted	13,14,15	58	29.0	0	0.0	0.14942528735632185	0.43678160919540227	0.43678160919540227	stepfinder	46
False	qwen3.5-9b	oat.s42	correct-error	arc	17,18,19	304	152.0	0	0.0	0.831140350877193	0.8464912280701755	0.8464912280701755	oat	42
False	qwen3.5-9b	oat.s42	correct-error	gaia	17,18,19	50	25.0	0	0.0	0.56	0.6933333333333334	0.6933333333333334	oat	42
False	qwen3.5-9b	oat.s42	correct-error	hotpot	17,18,19	578	289.0	0	0.0	0.4521337946943483	0.7035755478662052	0.7035755478662052	oat	42
False	qwen3.5-9b	oat.s42	correct-error	math500	17,18,19	157	79.0	0	0.0	0.5147679324894515	0.5105485232067511	0.5105485232067511	oat	42
False	qwen3.5-9b	oat.s42	correct-error	mmlu_pro	17,18,19	92	46.0	0	0.0	0.7318840579710145	0.7971014492753623	0.7971014492753623	oat	42
